data,y_true,y_pred,y_proba
2023-01-01,0,0,0.0027105682529509068
2023-01-08,0,0,0.0027105682529509068
2023-01-15,1,0,0.007168773096054792
2023-01-22,0,0,0.006288239266723394
2023-01-29,0,1,0.8166071176528931
2023-02-05,0,1,0.9861743450164795
2023-02-12,1,1,0.9123477935791016
2023-02-19,1,0,0.15225602686405182
2023-02-26,0,1,0.9509922862052917
2023-03-05,0,1,0.9900476932525635
2023-03-12,1,1,0.9137793779373169
2023-03-19,1,1,0.7562880516052246
2023-03-26,1,1,0.9648845791816711
2023-04-02,1,1,0.9795218110084534
2023-04-09,1,1,0.9851979613304138
2023-04-16,1,1,0.9374589920043945
2023-04-23,1,1,0.830136239528656
2023-04-30,1,1,0.8555954694747925
2023-05-07,1,1,0.9467206001281738
2023-05-14,1,1,0.8719242811203003
2023-05-21,1,1,0.5078061819076538
2023-05-28,1,1,0.6758183240890503
2023-06-04,1,1,0.9570307731628418
2023-06-11,1,1,0.9668139815330505
