data,y_true,y_pred,y_proba
2023-01-01,0,0,0.0029897072818130255
2023-01-08,0,0,0.002920635277405381
2023-01-15,1,0,0.005614426918327808
2023-01-22,0,0,0.0760020986199379
2023-01-29,0,1,0.8999847769737244
2023-02-05,0,1,0.8626923561096191
2023-02-12,1,1,0.8773263692855835
2023-02-19,1,0,0.4484154284000397
2023-02-26,0,1,0.9833121299743652
2023-03-05,0,1,0.9965835809707642
2023-03-12,1,1,0.9226879477500916
2023-03-19,1,1,0.9525983929634094
2023-03-26,1,1,0.9711987972259521
2023-04-02,1,1,0.9885395169258118
2023-04-09,1,1,0.9900811314582825
2023-04-16,1,1,0.8895218372344971
2023-04-23,1,1,0.9000657200813293
2023-04-30,1,1,0.9775581359863281
2023-05-07,1,1,0.9880536198616028
2023-05-14,1,1,0.9703927636146545
2023-05-21,1,1,0.7668229341506958
2023-05-28,1,1,0.9228954315185547
2023-06-04,1,1,0.9559804797172546
2023-06-11,1,1,0.9701952338218689
