data,y_true,y_pred,y_proba
2023-01-01,0,0,0.0023484397679567337
2023-01-08,0,0,0.0022330840583890676
2023-01-15,1,0,0.0035133459605276585
2023-01-22,0,0,0.0300239697098732
2023-01-29,0,1,0.6428973078727722
2023-02-05,0,1,0.6152405738830566
2023-02-12,1,1,0.6658046841621399
2023-02-19,1,0,0.13340319693088531
2023-02-26,0,1,0.888555109500885
2023-03-05,0,1,0.9962205290794373
2023-03-12,1,1,0.951744794845581
2023-03-19,1,1,0.9110339879989624
2023-03-26,1,1,0.9244362115859985
2023-04-02,1,1,0.9868017435073853
2023-04-09,1,1,0.9820547103881836
2023-04-16,1,1,0.9727125763893127
2023-04-23,1,1,0.9545003175735474
2023-04-30,1,1,0.7466363310813904
2023-05-07,1,1,0.926372230052948
2023-05-14,1,1,0.9110610485076904
2023-05-21,1,1,0.8310847282409668
2023-05-28,1,1,0.5204648971557617
2023-06-04,1,0,0.36077526211738586
2023-06-11,1,1,0.562379002571106
