data,y_true,y_pred,y_proba
2023-01-01,0,0,0.005022972822189331
2023-01-08,0,0,0.003010515123605728
2023-01-15,1,0,0.005096381530165672
2023-01-22,0,0,0.007383952848613262
2023-01-29,0,0,0.4309230446815491
2023-02-05,0,0,0.04387743026018143
2023-02-12,1,1,0.7698139548301697
2023-02-19,1,0,0.32729989290237427
2023-02-26,0,1,0.9445597529411316
2023-03-05,0,1,0.9869726300239563
2023-03-12,1,1,0.7267784476280212
2023-03-19,1,0,0.25264379382133484
2023-03-26,1,1,0.7790759801864624
2023-04-02,1,1,0.9641883373260498
2023-04-09,1,1,0.9892990589141846
2023-04-16,1,1,0.9562269449234009
2023-04-23,1,1,0.9136227369308472
2023-04-30,1,1,0.822407066822052
2023-05-07,1,1,0.9625443816184998
2023-05-14,1,1,0.9165216088294983
2023-05-21,1,0,0.335269033908844
2023-05-28,1,1,0.6764763593673706
2023-06-04,1,1,0.9269520044326782
2023-06-11,1,1,0.9064362645149231
