n_classes,avg_class_size,median_class_size,min_class_size,pct_classes_ge_2,pct_classes_ge_5,tecnica
8,36529.5,4592.5,3,1.0,0.875,generalizacao_dec1
47069,6.207865049183114,5.0,1,0.9999575091886379,0.9998937729715949,microagregacao_k5
44331,6.591910852450881,4.0,1,0.9999774424217815,0.43292504116758024,k_anon_k2
