radius_m,avg_candidates,median_candidates,pct_unique_candidate,pct_zero_candidate,tecnica
50,175.41380395914248,188.0,6.843807209950895e-05,0.0,original
100,193.11680325765224,214.0,3.079713244477903e-05,0.0,original
200,343.0324875528256,309.0,6.843807209950896e-06,0.0,original
500,2246.064458398207,2264.0,3.421903604975448e-06,0.0,original
50,19.16587335534758,18.0,0.0227864561055315,0.0142522285147227,permutacao
100,53.77292932058104,53.0,0.0044758499153078,0.0017588584529573,permutacao
200,189.45932554279943,201.0,0.0,1.0265710814926344e-05,permutacao
500,1264.2442691669376,1412.0,0.0,1.0265710814926344e-05,permutacao
50,0.0,0.0,0.0,1.0,generalizacao_dec1
100,0.0,0.0,0.0,1.0,generalizacao_dec1
200,87.79523328827827,0.0,0.0,0.998757848991394,generalizacao_dec1
500,478.48953068592056,0.0,0.0,0.9932793813198282,generalizacao_dec1
50,27.34911971529762,5.0,0.0006159426488955,0.4683662121238044,microagregacao_k5
100,97.64025869591254,15.0,0.0006159426488955,0.3773469981350625,microagregacao_k5
200,372.98863928003146,60.0,0.0007699283111194,0.2976269098499495,microagregacao_k5
500,2361.9035433811828,450.0,0.0046469450955566,0.199021335568977,microagregacao_k5
50,21.683607370780365,16.0,0.0,0.1514774068814481,k_anon_k2
100,79.15381456704365,60.0,0.0,0.062713227368385,k_anon_k2
200,339.08874706999507,256.0,0.0,0.0171813780005817,k_anon_k2
500,2076.5516382363508,1566.0,0.0,0.0011634472256916,k_anon_k2
50,15.227830342019264,15.0,0.0071415128235837,0.0011771348401115,dp_eps_1.0
100,61.36925077420569,62.0,0.0,1.3687614419901792e-05,dp_eps_1.0
200,245.13566821222645,252.0,0.0,1.0265710814926344e-05,dp_eps_1.0
500,1522.1792769517683,1564.0,1.0265710814926344e-05,0.0,dp_eps_1.0
