tecnica,AUC_ROC,Recall_Surto,Precision_Surto,F1_Surto,Balanced_Accuracy,N_teste,Positivos_teste,limiar_surto_P80
original,0.7478991596638656,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.7100840336134454,24,17,474.0000000000001
dp_eps_1.0,0.7058823529411765,0.7647058823529411,0.8666666666666667,0.8125,0.7394957983193278,24,17,474.0000000000001
generalizacao_dec1,0.6974789915966386,0.8235294117647058,0.7777777777777778,0.8,0.6260504201680672,24,17,474.0000000000001
k_anon_k2,0.6974789915966386,0.7647058823529411,0.8125,0.7878787878787878,0.6680672268907563,24,17,474.0000000000001
microagregacao_k5,0.6638655462184875,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.6554621848739496,24,17,474.0000000000001
permutacao,0.5714285714285714,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.6554621848739496,24,17,474.0000000000001
