data,y_true,y_pred,y_proba
2023-01-01,0,0,0.00251898355782032
2023-01-08,0,0,0.00251898355782032
2023-01-15,1,0,0.004562641028314829
2023-01-22,0,0,0.003084979485720396
2023-01-29,0,0,0.07094715535640717
2023-02-05,0,0,0.44960203766822815
2023-02-12,1,0,0.4576893746852875
2023-02-19,1,1,0.5266772508621216
2023-02-26,0,1,0.730488657951355
2023-03-05,0,1,0.98818039894104
2023-03-12,1,1,0.8915227055549622
2023-03-19,1,0,0.22413994371891022
2023-03-26,1,0,0.30736735463142395
2023-04-02,1,1,0.5132333040237427
2023-04-09,1,1,0.7779613733291626
2023-04-16,1,1,0.9739038944244385
2023-04-23,1,1,0.8285841345787048
2023-04-30,1,1,0.8538709282875061
2023-05-07,1,1,0.9611143469810486
2023-05-14,1,1,0.653827965259552
2023-05-21,1,1,0.5018458366394043
2023-05-28,1,0,0.4699965715408325
2023-06-04,1,1,0.8989139795303345
2023-06-11,1,1,0.7959457635879517
